,userId,imdbId,rating
0,1,112792,2.5
1,7,112792,3.0
2,31,112792,4.0
3,32,112792,4.0
4,36,112792,3.0
5,39,112792,3.0
6,73,112792,3.5
7,88,112792,3.0
8,96,112792,2.5
9,110,112792,4.0
10,111,112792,3.5
11,150,112792,2.5
12,161,112792,3.0
13,165,112792,3.5
14,186,112792,3.0
15,242,112792,4.0
16,254,112792,3.0
17,288,112792,3.0
18,310,112792,1.5
19,311,112792,3.0
20,325,112792,4.5
21,338,112792,3.0
22,341,112792,4.5
23,386,112792,2.0
24,394,112792,2.0
25,452,112792,2.5
26,457,112792,1.5
27,461,112792,2.0
28,468,112792,1.5
29,485,112792,4.0
30,487,112792,5.0
31,496,112792,4.0
32,511,112792,4.0
33,516,112792,4.0
34,525,112792,4.0
35,590,112792,3.0
36,596,112792,3.0
37,601,112792,3.0
38,607,112792,3.5
39,619,112792,3.0
40,639,112792,3.0
41,641,112792,4.0
42,1,33563,3.0
43,19,33563,5.0
44,35,33563,1.5
45,61,33563,2.5
46,73,33563,3.0
47,99,33563,3.0
48,102,33563,5.0
49,128,33563,4.0
50,175,33563,4.0
51,185,33563,3.0
52,188,33563,5.0
53,213,33563,1.5
54,214,33563,3.0
55,268,33563,4.0
56,294,33563,3.0
57,303,33563,3.5
58,311,33563,3.0
59,363,33563,4.0
60,387,33563,5.0
61,420,33563,3.0
62,442,33563,4.0
63,452,33563,4.0
64,466,33563,5.0
65,468,33563,3.5
66,471,33563,3.5
67,472,33563,4.0
68,514,33563,3.0
69,518,33563,4.0
70,529,33563,3.0
71,530,33563,4.0
72,547,33563,5.0
73,551,33563,4.0
74,564,33563,5.0
75,575,33563,4.0
76,577,33563,4.5
77,582,33563,4.0
78,602,33563,3.0
79,603,33563,4.0
80,605,33563,4.0
81,607,33563,3.0
82,646,33563,4.0
83,665,33563,4.0
84,1,117665,3.0
85,19,117665,3.0
86,23,117665,3.5
87,30,117665,3.0
88,70,117665,5.0
89,73,117665,4.0
90,90,117665,4.0
91,102,117665,2.0
92,105,117665,4.0
93,119,117665,4.0
94,141,117665,3.0
95,150,117665,3.0
96,165,117665,2.5
97,212,117665,4.0
98,233,117665,3.0
99,252,117665,3.0
100,292,117665,4.0
101,306,117665,3.0
102,318,117665,3.0
103,325,117665,3.5
104,380,117665,4.0
105,452,117665,3.0
106,461,117665,4.0
107,507,117665,2.0
108,509,117665,4.0
109,518,117665,5.0
110,534,117665,4.0
111,537,117665,5.0
112,584,117665,4.5
113,608,117665,3.0
114,641,117665,4.0
115,647,117665,4.0
116,665,117665,3.0
117,1,82340,2.0
118,7,82340,3.0
119,19,82340,3.0
120,21,82340,3.0
121,30,82340,3.0
122,34,82340,4.0
123,41,82340,4.5
124,49,82340,3.0
125,57,82340,3.0
126,66,82340,4.0
127,73,82340,4.0
128,77,82340,4.0
129,103,82340,2.5
130,105,82340,3.5
131,118,82340,3.0
132,119,82340,4.0
133,155,82340,4.0
134,177,82340,3.0
135,195,82340,1.0
136,248,82340,5.0
137,276,82340,4.0
138,299,82340,4.5
139,311,82340,1.5
140,325,82340,3.0
141,346,82340,4.0
142,351,82340,3.0
143,353,82340,2.0
144,358,82340,3.0
145,380,82340,4.0
146,390,82340,3.0
147,423,82340,4.0
148,461,82340,3.5
149,463,82340,3.0
150,468,82340,2.5
151,472,82340,4.0
152,514,82340,3.0
153,516,82340,3.0
154,518,82340,3.0
155,522,82340,4.0
156,547,82340,3.5
157,564,82340,4.0
158,580,82340,2.0
159,585,82340,3.0
160,596,82340,3.5
161,597,82340,4.0
162,624,82340,3.0
163,634,82340,3.0
164,654,82340,4.5
165,1,95765,4.0
166,23,95765,5.0
167,38,95765,4.5
168,56,95765,2.0
169,94,95765,3.5
170,102,95765,4.0
171,119,95765,4.0
172,130,95765,4.0
173,133,95765,5.0
174,148,95765,5.0
175,198,95765,3.5
176,229,95765,4.5
177,232,95765,2.0
178,262,95765,3.0
179,280,95765,5.0
180,283,95765,3.5
181,306,95765,4.0
182,320,95765,5.0
183,321,95765,5.0
184,325,95765,2.0
185,330,95765,5.0
186,341,95765,4.0
187,358,95765,5.0
188,372,95765,3.0
189,373,95765,5.0
190,387,95765,5.0
191,391,95765,5.0
192,430,95765,4.5
193,441,95765,5.0
194,452,95765,4.0
195,460,95765,3.5
196,468,95765,3.0
197,472,95765,4.0
198,481,95765,5.0
199,497,95765,5.0
200,505,95765,4.0
201,509,95765,4.0
202,510,95765,5.0
203,521,95765,5.0
204,537,95765,5.0
205,539,95765,5.0
206,545,95765,5.0
207,547,95765,5.0
208,580,95765,4.0
209,585,95765,5.0
210,587,95765,4.5
211,1,77416,2.0
212,15,77416,4.0
213,17,77416,4.5
214,19,77416,4.0
215,21,77416,4.0
216,22,77416,3.0
217,23,77416,3.0
218,30,77416,5.0
219,34,77416,4.0
220,56,77416,2.0
221,57,77416,5.0
222,73,77416,4.0
223,102,77416,5.0
